Year,Economy Label,Mode Label,Direction Label,US dollars at current prices in millions,US dollars at current prices per capita,Percentage of total world,Percentage of Gross Domestic Product
1970,Afghanistan,Flow,Inward,0.23,0.021,0.001735,0.01328
1970,Algeria,Flow,Inward,80.12,5.539,0.604359,1.55418
1970,Algeria,Flow,Outward,2.0,0.138,0.014143,0.0388
1970,Angola,Flow,Inward,2.4,0.407,0.018104,0.06303
1970,Argentina,Flow,Inward,89.77,3.759,0.677151,0.26415
1970,Argentina,Flow,Outward,1.817,0.076,0.012849,0.00535
1970,Australia,Flow,Inward,893.139,69.814,6.7371,1.97808
1970,Australia,Flow,Outward,111.364,8.705,0.787521,0.24664
1970,Austria,Flow,Inward,112.65,14.988,0.849739,0.73278
1970,Austria,Flow,Outward,8.65,1.151,0.061169,0.05627
1970,Bahamas,Flow,Inward,80.32,474.211,0.605868,10.52735
1970,Barbados,Flow,Inward,8.661,36.252,0.065328,3.97299
1970,Barbados,Flow,Outward,0.192,0.804,0.001358,0.08808
1970,Belgium,Flow,Inward,314.0,32.599,2.368557,1.17573
1970,Belgium,Flow,Outward,174.0,18.064,1.230459,0.65152
1970,Bolivia (Plurinational State of),Flow,Inward,19.764,4.408,0.149083,1.95664
1970,Brazil,Flow,Inward,391.7,4.118,2.954662,1.11235
1970,Brazil,Flow,Outward,14.0,0.147,0.099002,0.03976
1970,Belize,Flow,Inward,7.09,58.027,0.053481,25.396
1970,Brunei Darussalam,Flow,Inward,85.53,660.31,0.645168,38.02687
1970,Burundi,Flow,Inward,0.1,0.029,0.000754,0.04074
1970,Cambodia,Flow,Inward,0.1,0.014,0.000754,0.01303
1970,Cameroon,Flow,Inward,16.0,2.454,0.120691,1.21596
1970,Canada,Flow,Inward,1823.124,85.295,13.752139,2.04321
1970,Canada,Flow,Outward,931.181,43.565,6.58494,1.04359
1970,Central African Republic,Flow,Inward,1.2,0.663,0.009052,0.43484
1970,Sri Lanka,Flow,Inward,-0.3,-0.024,-0.002263,-0.01066
1970,Chad,Flow,Inward,0.6,0.165,0.004526,0.16887
1970,Chile,Flow,Inward,12.33,1.26,0.093007,0.12738
1970,"China, Taiwan Province of",Flow,Inward,62.0,4.154,0.467677,1.07175
1970,"China, Taiwan Province of",Flow,Outward,1.0,0.067,0.007072,0.01729
1970,Colombia,Flow,Inward,43.0,2.002,0.324357,0.42461
1970,Colombia,Flow,Outward,4.0,0.186,0.028286,0.0395
1970,Congo,Flow,Inward,5.1,3.844,0.03847,1.79781
1970,"Congo, Dem. Rep. of the",Flow,Inward,6.43,0.321,0.048503,0.13473
1970,Costa Rica,Flow,Inward,26.345,14.261,0.198725,2.10334
1970,Cyprus,Flow,Inward,20.2,32.92,0.152372,3.27883
1970,Benin,Flow,Inward,6.7,2.301,0.050539,2.08039
1970,Denmark,Flow,Inward,104.0,21.09,0.78449,0.60906
1970,Denmark,Flow,Outward,29.0,5.881,0.205076,0.16983
1970,Dominican Republic,Flow,Inward,71.6,15.912,0.540091,3.8513
1970,Ecuador,Flow,Inward,88.6,14.598,0.668325,3.09668
1970,El Salvador,Flow,Inward,3.7,1.007,0.02791,1.08996
1970,Ethiopia (...1991),Flow,Inward,3.9,0.131,0.029418,0.1524
1970,Fiji,Flow,Inward,6.4,12.294,0.048276,2.89829
1970,Finland,Flow,Inward,18.0,3.903,0.135777,0.15927
1970,Finland,Flow,Outward,52.0,11.274,0.367723,0.4601
1970,"France, metropolitan",Flow,Inward,621.213,12.237,4.685917,0.41846
1970,"France, metropolitan",Flow,Outward,364.933,7.189,2.580661,0.24583
1970,France,Flow,Inward,621.213,11.951,4.685917,0.41766
1970,France,Flow,Outward,364.933,7.02,2.580661,0.24536
1970,Gabon,Flow,Inward,-0.7,-1.188,-0.00528,-0.17079
1970,Gambia,Flow,Inward,0.1,0.215,0.000754,0.06245
1970,"Germany, Federal Republic of",Flow,Inward,770.0,9.799,5.808244,0.35675
1970,"Germany, Federal Republic of",Flow,Outward,1070.0,13.617,7.566616,0.49575
1970,Ghana,Flow,Inward,67.8,7.761,0.511427,1.44326
1970,Greece,Flow,Inward,50.0,5.771,0.377159,0.3807
1970,Guatemala,Flow,Inward,29.4,5.23,0.221769,1.76002
1970,Guyana,Flow,Inward,9.0,12.767,0.067889,2.10743
1970,Haiti,Flow,Inward,2.8,0.599,0.021121,0.63747
1970,Honduras,Flow,Inward,8.4,3.092,0.063363,1.01898
1970,"China, Hong Kong SAR",Flow,Inward,49.822,12.944,0.375817,1.30681
1970,Iceland,Flow,Inward,4.5,22.013,0.033944,0.85309
1970,India,Flow,Inward,45.46,0.082,0.342913,0.07283
1970,Iran (Islamic Republic of),Flow,Inward,28.0,0.982,0.211209,0.2551
1970,Iraq,Flow,Inward,-0.91,-0.092,-0.006864,-0.02767
1970,Ireland,Flow,Inward,32.0,11.002,0.241382,0.72776
1970,Israel,Flow,Inward,49.0,17.415,0.369616,0.81394
1970,Israel,Flow,Outward,9.0,3.199,0.063644,0.1495
1970,Italy,Flow,Inward,624.16,11.662,4.708148,0.5504
1970,Italy,Flow,Outward,114.24,2.135,0.80786,0.10074
1970,C繫te d'Ivoire,Flow,Inward,30.7,6.017,0.231575,2.0454
1970,Jamaica,Flow,Inward,162.1,86.424,1.222749,9.33978
1970,Jamaica,Flow,Outward,1.0,0.533,0.007072,0.05762
1970,Japan,Flow,Inward,94.0,0.896,0.709058,0.04421
1970,Japan,Flow,Outward,355.0,3.383,2.510419,0.16697
1970,Kenya,Flow,Inward,13.8,1.221,0.104096,0.54795
1970,"Korea, Republic of",Flow,Inward,66.0,2.05,0.49785,0.73291
1970,Kuwait,Flow,Inward,25.99,34.912,0.196047,0.90469
1970,Lao People's Dem. Rep.,Flow,Inward,0.1,0.037,0.000754,0.08396
1970,Liberia,Flow,Inward,57.14,40.793,0.431017,18.05378
1970,Libya,Flow,Inward,317.22,148.683,2.392846,7.97261
1970,Madagascar,Flow,Inward,10.0,1.521,0.075432,0.95016
1970,Malawi,Flow,Inward,8.6,1.828,0.064871,1.48492
1970,Malaysia,Flow,Inward,94.0,8.7,0.709058,2.43262
1970,Malta,Flow,Inward,11.6,36.188,0.087501,4.47312
1970,Mauritania,Flow,Inward,0.8,0.698,0.006035,0.17507
1970,Mauritius,Flow,Inward,1.6,1.936,0.012069,0.7785
1970,Mexico,Flow,Inward,312.107,6.061,2.354278,0.69013
1970,Morocco,Flow,Inward,20.0,1.25,0.150863,0.43058
1970,Mozambique,Flow,Inward,0.3,0.033,0.002263,0.00745
1970,Oman,Flow,Inward,3.02,4.172,0.02278,1.12515
1970,Netherlands,Flow,Inward,632.6,48.654,4.771812,1.65754
1970,Netherlands,Flow,Outward,1316.85,101.281,9.312241,3.45041
1970,Netherlands Antilles,Flow,Inward,0.79,4.911,0.005959,0.35233
1970,New Zealand,Flow,Inward,146.0,51.803,1.101304,2.24724
1970,New Zealand,Flow,Outward,9.0,3.193,0.063644,0.13853
1970,Nicaragua,Flow,Inward,15.0,6.233,0.113148,1.31548
1970,Niger,Flow,Inward,2.72,0.603,0.020517,0.47823
1970,Nigeria,Flow,Inward,205.0,3.662,1.546351,0.69757
1970,Norway,Flow,Inward,64.0,16.512,0.482763,0.49945
1970,Norway,Flow,Outward,32.0,8.256,0.226291,0.24972
1970,Pakistan,Flow,Inward,23.0,0.396,0.173493,0.17505
1970,"Panama, excluding Canal Zone",Flow,Inward,168.1,110.644,1.268008,14.42506
1970,Papua New Guinea,Flow,Inward,129.65,46.584,0.977973,11.81461
1970,Paraguay,Flow,Inward,4.752,1.92,0.035845,0.69862
1970,Peru,Flow,Inward,-13.96,-1.037,-0.105303,-0.23949
1970,Philippines,Flow,Inward,-1.04,-0.029,-0.007845,-0.01403
1970,Portugal,Flow,Inward,28.9,3.341,0.217998,0.35644
1970,Qatar,Flow,Inward,5.69,51.954,0.042921,1.05578
1970,Rwanda,Flow,Inward,0.06,0.016,0.000453,0.02634
1970,Saudi Arabia,Flow,Inward,7.36,1.261,0.055518,0.13687
1970,Senegal,Flow,Inward,5.0,1.174,0.037716,0.40591
1970,Seychelles,Flow,Inward,2.2,42.008,0.016595,9.87798
1970,Sierra Leone,Flow,Inward,8.2,2.987,0.061854,1.80054
1970,Singapore,Flow,Inward,93.0,44.878,0.701515,4.8423
1970,Viet Nam,Flow,Inward,0.07,0.002,0.000528,0.00252
1970,Somalia,Flow,Inward,4.5,1.306,0.033944,1.31955
1970,South Africa,Flow,Inward,334.6,15.161,2.523945,1.79348
1970,South Africa,Flow,Outward,16.8,0.761,0.118803,0.09005
1970,Zimbabwe,Flow,Inward,18.67,3.53,0.140831,0.79905
1970,"Yemen, Democratic",Flow,Inward,12.61,2.036,0.095119,8.2101
1970,Spain,Flow,Inward,222.0,6.552,1.674585,0.54157
1970,Spain,Flow,Outward,43.0,1.269,0.304079,0.1049
1970,Sudan (...2011),Flow,Inward,1.66,0.121,0.012522,0.13456
1970,Suriname,Flow,Inward,-5.0,-13.59,-0.037716,-1.40307
1970,Sweden,Flow,Inward,108.25,13.439,0.816549,0.28418
1970,Sweden,Flow,Outward,212.63,26.398,1.503635,0.5582
1970,Syrian Arab Republic,Flow,Inward,-0.1,-0.016,-0.000754,-0.0057
1970,Thailand,Flow,Inward,42.803,1.16,0.32287,0.5794
1970,Togo,Flow,Inward,0.7,0.331,0.00528,0.22759
1970,Trinidad and Tobago,Flow,Inward,83.2,88.009,0.627592,10.09452
1970,United Arab Emirates,Flow,Inward,7.78,33.175,0.058686,0.72896
1970,Tunisia,Flow,Inward,16.0,3.16,0.120691,1.01256
1970,Turkey,Flow,Inward,58.0,1.663,0.437504,0.23136
1970,Uganda,Flow,Inward,4.2,0.447,0.031681,0.29498
1970,Egypt,Flow,Inward,0.68,0.02,0.005129,0.00835
1970,"Tanzania, United Republic of",Flow,Inward,3.07,0.227,0.023158,0.13266
1970,United States of America,Flow,Inward,1260.0,5.938,9.5044,0.11684
1970,United States of America,Flow,Outward,7590.0,35.766,53.67347,0.70381
1970,Burkina Faso,Flow,Inward,0.4,0.071,0.003017,0.07902
1970,Uruguay,Flow,Inward,2.13,0.758,0.016067,0.08394
1970,Venezuela (Bolivarian Rep. of),Flow,Inward,-23.0,-2.018,-0.173493,-0.1663
1970,Samoa,Flow,Inward,0.02,0.14,0.000151,0.04839
1970,Zambia,Flow,Inward,9.52,2.278,0.071811,0.6165
1970,United Kingdom,Flow,Inward,1488.0,26.691,11.224244,1.13864
1970,United Kingdom,Flow,Outward,1677.6,30.091,11.863322,1.28372
1970,Indonesia,Flow,Inward,145.38,1.26,1.096627,1.39257
1971,Afghanistan,Flow,Inward,0.45,0.039,0.00316,0.02482
1971,Algeria,Flow,Inward,0.6,0.04,0.004213,0.01119
1971,Algeria,Flow,Outward,1.0,0.067,0.006929,0.01864
1971,Angola,Flow,Inward,1.86,0.308,0.013061,0.0464
1971,Argentina,Flow,Inward,125.67,5.18,0.882441,0.3091
1971,Australia,Flow,Inward,1155.158,88.632,8.111394,2.29211
1971,Australia,Flow,Outward,104.498,8.018,0.724044,0.20735
1971,Austria,Flow,Inward,142.73,18.904,1.002234,0.79922
1971,Austria,Flow,Outward,36.12,4.784,0.250268,0.20225
1971,Bahamas,Flow,Inward,54.66,314.329,0.383817,6.91426
1971,Barbados,Flow,Inward,15.928,66.339,0.111841,6.50042
1971,Barbados,Flow,Outward,1.318,5.49,0.009132,0.53791
1971,Belgium,Flow,Inward,428.0,44.291,3.005369,1.43519
